  baby_name   |       item_name        | priority 
--------------+------------------------+----------
 Baby Johnson | Crib                   |        1
 Baby Johnson | Stroller               |        1
 Baby Johnson | Car Seat               |        1
 Baby Johnson | Baby Monitor           |        2
 Baby Johnson | Diaper Bag             |        2
 Liam Davis   | Baby Clothes Set       |        1
 Liam Davis   | Nursing Pillow         |        2
 Emma Smith   | Bottles and Sterilizer |        1
 Emma Smith   | Baby Swing             |        2
 Oliver       | Baby Stroller          |        5
 Amelia       | Crib Mattress          |        4
 Oliver       | Diaper Genie           |        5
 Oliver       | Baby Monitor           |        4
 Oliver       | Onesies (0-3M)         |        3
 Oliver       | Bottle Warmer          |        2
 Oliver       | Car Seat               |        5
 Amelia       | Diaper Genie           |        5
 Amelia       | Baby Monitor           |        4
 Amelia       | Onesies (0-3M)         |        3
 Amelia       | Bottle Warmer          |        2
 Amelia       | Car Seat               |        5
(21 rows)

